user_id, similar_user
1626748, 29421
1849645, 2962402
1249250, 4677012
1396733, 2605741
797103, 5402192
2136673, 2169039
2934545, 4305807
2104677, 2273464
317672, 4141017
1587990, 5279029
1718178, 3665375
4889654, 1755214
3458052, 2592705
2276227, 5279029
5495774, 5514812
5576137, 2810836
3760398, 4263169
1011976, 734029
3158924, 2949628
3952443, 1755214
649953, 1979347
1893857, 29421
4660481, 4733534
437011, 4583136
1267201, 5023584
2400805, 4276674
3693179, 2592705
1669715, 5746867
3729651, 832314
3474126, 2008921
3560735, 734029
5065191, 3362496
4455664, 893076
2172206, 1006136
4657575, 3539663
724378, 5478094
1651012, 734029
4839169, 1721771
4723091, 825453
3304005, 1638423
2007087, 4669421
1264404, 5710332
1869647, 734029
3818020, 3527956
5008899, 5710332
341063, 98085
5633812, 2146783
3796445, 1006136
3678159, 5514812
4724773, 4324889
3907393, 2146783
313474, 4733534
4081162, 3846627
3226211, 5360669
1434227, 2810836
3844950, 3523384
3975456, 98085
3065267, 4925266
2981689, 756362
1241513, 825453
2190319, 4106866
4000819, 3987929
1530113, 2945002
3487539, 1466341
4018922, 427712
4505978, 3362496
3092843, 2420092
303753, 432459
3951089, 5179782
3362995, 4249426
1812986, 2945002
3770825, 1335824
3869942, 4324889
3112240, 1156978
2923812, 5279029
465216, 2273461
4089171, 1436444
1536467, 832314
706810, 5258116
1664647, 175994
3120166, 2819602
940300, 427712
5532354, 3530783
3801626, 2273461
2142564, 3056027
1633218, 4697189
1303881, 734029
5736858, 2273461
5538391, 5712202
1022668, 4644648
3015431, 5258116
5493613, 3898449
3137211, 734029
1257059, 4732929
4366629, 3953586
1078882, 4669421
672713, 4677012
3854994, 1721771
5273200, 1999822
4915556, 3069381
3262862, 5258116
909929, 3620560
2991224, 3959335
3967859, 2592705
917841, 756362
1085083, 1755214
3819301, 99625
2283420, 2945002
4052244, 5258116
3441955, 1777296
2674147, 3953586
1723355, 3936589
3471395, 2994305
177128, 512966
4701199, 734029
1301059, 893076
9423, 4669421
2793496, 2518035
2229359, 871962
5404279, 2684149
1090068, 4733534
2175363, 4674587
34755, 3959335
498432, 390956
673490, 4675072
4985020, 5677493
4798757, 512966
4224490, 3696694
1444307, 3665375
3223625, 98085
1238435, 2810836
5790347, 1755214
2075275, 5666738
3932122, 3654581
1639090, 2011932
4821401, 4073839
5287312, 58454
2118498, 1692207
552957, 5131876
3443103, 734029
3349360, 4733534
3008395, 5685342
1736446, 734029
3542219, 4271841
3591552, 2330807
1286098, 417287
404763, 1797861
2905279, 390956
3070962, 5514812
4939085, 2605741
1751687, 4583136
1197728, 227968
1644219, 427712
4227990, 4275686
2019516, 832314
1108301, 5483956
5586804, 5258116
4878085, 4837451
1476954, 734029
5509788, 2095800
3658838, 3362496
923655, 4677012
5272485, 4675072
4009417, 3953586
884966, 3583993
2456020, 98085
2688561, 734029
3893735, 2792054
2788211, 4941762
1151886, 2273461
1776688, 1712145
4625484, 2949628
3179964, 4811216
1147158, 2273461
4373660, 4669421
5257462, 4669421
1177400, 5402192
1282465, 825453
1053100, 1028230
1242511, 734029
3213800, 2095800
3712938, 3953586
238793, 2273461
3006602, 5710332
5674812, 825453
896381, 4669421
2753008, 4936136
